"brand","slug","go_route","go_route_exists","review_route","review_route_exists","source_rows","countries","categories","affiliate_program_target","tracking_url_status","cash_route_status","next_money_action","source_next_action"
"15gram","15gram","/go/15gram/","yes","/reviews/15gram/","yes","1","Belgium","meal kit","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Belgium recipe-box and meal-kit pages"
"28Ishrana","28ishrana","/go/28ishrana/","yes","/reviews/28ishrana/","yes","1","Serbia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Serbia/Belgrade diet meal delivery anchor"
"518 Kitchen","518-kitchen","/go/518-kitchen/","yes","/reviews/518-kitchen/","yes","1","US","specialty prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"A Dozen Cousins","a-dozen-cousins","/go/a-dozen-cousins/","yes","/reviews/a-dozen-cousins/","yes","1","US","shelf-stable meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to shelf-stable bean/rice dinner helper pages"
"A Dozen Cousins Rice & Beans","a-dozen-cousins-rice-and-beans","/go/a-dozen-cousins-rice-and-beans/","yes","/reviews/a-dozen-cousins-rice-and-beans/","yes","1","US","shelf-stable meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add product-route variant for pantry dinner packs"
"A Life Plus","a-life-plus","/go/a-life-plus/","yes","/reviews/a-life-plus/","yes","1","Australia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to AU diet prepared meal challenger pages"
"Aarstiderne","aarstiderne","/go/aarstiderne/","yes","/reviews/aarstiderne/","yes","1","denmark","organic meal kit","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Position as organic/local alternative in Denmark"
"Abel & Cole","abel-and-cole","/go/abel-and-cole/","yes","/reviews/abel-and-cole/","yes","1","UK","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK organic grocery-dinner comparisons"
"Abel & Cole Recipe Boxes","abel-and-cole-recipe-boxes","/go/abel-and-cole-recipe-boxes/","yes","/reviews/abel-and-cole-recipe-boxes/","yes","1","UK","organic meal kit","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote from candidate to organic recipe-box coverage"
"Activate Foods","activate-foods","/go/activate-foods/","yes","/reviews/activate-foods/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"ACTIVeat","activeat","/go/activeat/","yes","/reviews/activeat/","yes","1","india","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to India/Mumbai healthy diet meal pages"
"Adams Matkasse","adams-matkasse","/go/adams-matkasse/","yes","/reviews/adams-matkasse/","yes","1","norway","meal kit","not active; route to Godtlevert","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Keep accounted for and route users to Godtlevert rather than treating as active"
"Afia","afia","/go/afia/","yes","/reviews/afia/","yes","1","US","plant-based frozen meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to plant-based Mediterranean frozen dinner pages"
"Agrain Malaysia","agrain-malaysia","/go/agrain-malaysia/","yes","/reviews/agrain-malaysia/","yes","1","Malaysia","prepared meals","direct partnership after meal-plan fit check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Malaysia healthy prepared-meal watchlist with delivery-route caveat"
"All About The Cooks","all-about-the-cooks","/go/all-about-the-cooks/","yes","/reviews/all-about-the-cooks/","yes","1","UK","prepared meals marketplace","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for local homemade meal marketplace demand"
"All Meal Prep","all-meal-prep","/go/all-meal-prep/","yes","/reviews/all-meal-prep/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Chicago prepared-meal alternatives"
"Allcook Kitchen","allcook-kitchen","/go/allcook-kitchen/","yes","/reviews/allcook-kitchen/","yes","1","switzerland","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Switzerland prepared-meals shortlist"
"allplants","allplants","/go/allplants/","yes","/reviews/allplants/","yes","1","UK","frozen plant-based meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote cautiously from watchlist with active-route caveat"
"Ambronite","ambronite","/go/ambronite/","yes","/reviews/ambronite/","yes","1","Global","complete nutrition meal replacement","not ready","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for alternatives search demand only; do not recommend as active"
"AMGD","amgd","/go/amgd/","yes","/reviews/amgd/","yes","1","singapore","healthy meal delivery","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Singapore halal and flexible meal-credit cluster"
"Amy's Kitchen","amy-s-kitchen","/go/amy-s-kitchen/","yes","/reviews/amy-s-kitchen/","yes","1","US","frozen prepared meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to healthy frozen dinner and vegetarian frozen meal pages"
