priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
1,15gram,/go/15gram/,Belgium,meal kit,Belgian meal box and recipe planning brand with grocery-dinner relevance,https://15gram.be/,direct partnership,Add to Belgium recipe-box and meal-kit pages,route_ready_affiliate_pending
2,28Ishrana,/go/28ishrana/,Serbia,diet prepared meals,Belgrade healthy meal delivery service with weekly meal plans and full-day nutrition programs,https://28ishrana.rs/en/,direct partnership,Add as Serbia/Belgrade diet meal delivery anchor,route_ready_affiliate_pending
3,518 Kitchen,/go/518-kitchen/,US,specialty prepared meals,keto prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
4,A Dozen Cousins,/go/a-dozen-cousins/,US,shelf-stable meals,"ready-to-eat seasoned beans, rice, and meal sides inspired by Creole, Caribbean, and Latin American recipes",https://adozencousins.com/,retail affiliate,Add to shelf-stable bean/rice dinner helper pages,route_ready_affiliate_pending
5,A Dozen Cousins Rice & Beans,/go/a-dozen-cousins-rice-and-beans/,US,shelf-stable meals,"ready-to-eat rice and bean packs for quick Creole, Caribbean, and Latin-inspired dinners",https://adozencousins.com/,retail affiliate,Add product-route variant for pantry dinner packs,route_ready_affiliate_pending
6,A Life Plus,/go/a-life-plus/,Australia,diet prepared meals,Australian healthy diet meal delivery and prepared meal candidate,https://www.alifeplus.com.au/,direct partnership,Add to AU diet prepared meal challenger pages,route_ready_affiliate_pending
7,Aarstiderne,/go/aarstiderne/,denmark,organic meal kit,"Organic Danish meal boxes, produce boxes, and groceries",https://www.aarstiderne.com/,direct partnership,Position as organic/local alternative in Denmark,route_ready_affiliate_pending
8,Abel & Cole,/go/abel-and-cole/,UK,grocery dinner delivery,"UK organic grocery, veg box, and recipe-box delivery brand",https://www.abelandcole.co.uk/,affiliate application,Add to UK organic grocery-dinner comparisons,route_ready_affiliate_pending
9,Abel & Cole Recipe Boxes,/go/abel-and-cole-recipe-boxes/,UK,organic meal kit,UK organic recipe boxes and grocery dinner delivery from Abel & Cole,https://www.abelandcole.co.uk/,affiliate application,Promote from candidate to organic recipe-box coverage,route_ready_affiliate_pending
10,ACKitchen,/go/ackitchen/,US,organic prepared meals,US organic fully cooked meal plans delivered in New York Boston and Connecticut,https://ackitchen.com/,direct partnership,Add to US organic prepared-meal regional alternatives,route_ready_affiliate_pending
11,Activate Foods,/go/activate-foods/,Australia,prepared meals,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
12,All About The Cooks,/go/all-about-the-cooks/,UK,prepared meals marketplace,UK marketplace for homemade meals from local cooks with prepared dinner delivery relevance,https://allaboutthecooks.co.uk/,direct partnership,Account for local homemade meal marketplace demand,route_ready_affiliate_pending
