"brand","primary_country","meal_type","program_route","priority","status","go_route","tracking_url_added","next_action","notes"
"HelloFresh","Global","meal kit","affiliate network or direct partner page","1","ready_after_contact_email_confirmed","/go/hellofresh/","no","Apply once contact email and polished live pages are confirmed.","Top mainstream meal-kit target."
"Factor","US","prepared meals / high protein","affiliate network or direct partner page","2","ready_after_contact_email_confirmed","/go/factor/","no","Apply once contact email and polished live pages are confirmed.","Top prepared-meal and high-protein target."
"CookUnity","US","prepared meals","affiliate network or direct partner page","3","ready_after_contact_email_confirmed","/go/cookunity/","no","Apply once contact email and polished live pages are confirmed.","Premium prepared-meal target."
"Gousto","UK","meal kit","affiliate network or direct partner page","4","ready_after_contact_email_confirmed","/go/gousto/","no","Apply once contact email and polished live pages are confirmed.","Core UK meal-kit target."
"Mindful Chef","UK","healthy meal kit","affiliate network or direct partner page","5","not_started","/go/mindful-chef/","no","Prepare application or partner-contact lookup.","Strong UK health meal-kit target."
"Chefs Plate","Canada","meal kit","affiliate network or direct partner page","6","not_started","/go/chefs-plate/","no","Prepare application or partner-contact lookup.","Core Canada meal-kit target."
"Youfoodz","Australia","prepared meals","affiliate network or direct partner page","7","not_started","/go/youfoodz/","no","Prepare application or partner-contact lookup.","Australia prepared-meal target."
"My Muscle Chef","Australia","high protein prepared meals","affiliate network or direct partner page","8","not_started","/go/my-muscle-chef/","no","Prepare application or partner-contact lookup.","High-protein Australia target."
"Blue Apron","US","meal kit","affiliate network or direct partner page","9","not_started","/go/blue-apron/","no","Prepare application or partner-contact lookup.","Known US meal-kit comparison target."
"Marley Spoon","Global","meal kit","affiliate network or direct partner page","10","not_started","/go/marley-spoon/","no","Prepare application or partner-contact lookup.","Useful global meal-kit comparison target."
"EveryPlate","US","budget meal kit","affiliate network or direct partner page","11","ready_after_contact_email_confirmed","/go/everyplate/","no","Apply once contact email and polished live pages are confirmed.","Budget meal-kit target."
"Dinnerly","US","budget meal kit","affiliate network or direct partner page","12","ready_after_contact_email_confirmed","/go/dinnerly/","no","Apply once contact email and polished live pages are confirmed.","Budget meal-kit target."
"Home Chef","US","meal kit","affiliate network or direct partner page","13","ready_after_contact_email_confirmed","/go/home-chef/","no","Apply once contact email and polished live pages are confirmed.","US mainstream meal-kit target."
"Green Chef","US","healthy meal kit","affiliate network or direct partner page","14","ready_after_contact_email_confirmed","/go/green-chef/","no","Apply once contact email and polished live pages are confirmed.","Healthy and diet-filter meal-kit target."
"Purple Carrot","US","plant-based meal kit","affiliate network or direct partner page","15","ready_after_contact_email_confirmed","/go/purple-carrot/","no","Apply once contact email and polished live pages are confirmed.","Plant-based specialist target."
"Hungryroot","US","grocery dinner shortcut","affiliate network or direct partner page","16","not_started","/go/hungryroot/","no","Prepare application or partner-contact lookup.","Important grocery-dinner shortcut target."
"Thistle","US","prepared / plant-forward meals","affiliate network or direct partner page","17","not_started","/go/thistle/","no","Prepare application or partner-contact lookup.","Prepared and health-oriented target."
"Trifecta","US","high protein prepared meals","affiliate network or direct partner page","18","not_started","/go/trifecta/","no","Prepare application or partner-contact lookup.","Fitness meal-prep target."
"Sprinly","US","plant-based prepared meals","affiliate network or direct partner page","19","not_started","/go/sprinly/","no","Prepare application or partner-contact lookup.","Plant-based prepared target."
"Little Spoon","US","kids / baby meals","affiliate network or direct partner page","20","not_started","/go/little-spoon/","no","Prepare application or partner-contact lookup.","Kids and family expansion target."
