"priority","surface","url_or_template","problem_from_audit","fix","acceptance_criteria","status"
"1","Homepage hero","/","Value proposition and CTA compete; stats clutter the first impression.","Make one primary promise, one primary matcher/start path, and remove vanity stats from the hero.","Within 5 seconds a first-time visitor knows the site helps choose a meal delivery service by meal type, country, diet, and budget.","partially_done_local"
"2","Consumer pages","global script behavior","Massive coverage table overwhelms homepage, best, review, comparison, and country pages.","Render coverage table only on directory-style pages.","No best/review/comparison/country page shows the giant brand table immediately below the hero.","done_local"
"3","Navigation","header template","Labels are too abstract for normal users.","Use buyer mental-model labels: Top Picks, Compare Brands, Meal Types, Deals, Countries/Regions, All Brands.","A non-expert can predict where to click for top services, brand comparisons, meal categories, regions, and the full directory.","done_local"
"4","Affiliate disclosure","all money sections","Disclosure is too far from affiliate links.","Add nearby disclosure text to sections containing affiliate links.","Every section with affiliate CTAs has a nearby plain-language commission disclosure before or near the CTA.","partially_done_local"
"5","Homepage start section","/","Start path should guide by meal type, not database volume.","Use six clear cards: prepared, meal kits, high protein, cheap, family, deals.","The first decision point is meal type or situation, not a table or directory.","done_local"
"6","Best page template","best/*","Top-picks pages need curated ranked lists before details.","Add 3-6 ranked cards with best-for labels, pros/cons, pricing caveat, and Check price CTA.","Each best page starts with a shortlist, not generic text or a table.","pending"
"7","Review page template","reviews/*","Reviews need structure and buyer analysis.","Add overview, pros/cons, pricing/plans caveat, who it fits, alternatives, how we compare, verdict.","A review page can stand alone as a buying decision page without the directory table.","pending"
"8","Comparison page template","vs/*","Head-to-head pages need clearer verdicts and fewer distractions.","Add winner summary by price, convenience, diet fit, country availability, and routine.","A user can decide between two brands from the first comparison screen.","pending"
"9","Country page template","countries/*","Country navigation is not clear enough for non-US users.","Add country summary, local available categories, regional caveats, and local top brands.","A user from the country can quickly see which services are relevant locally.","pending"
"10","Trust layer","all money pages","Trust signals are hard to find.","Add last-updated, methodology link, source note, and why-you-can-trust-us module near recommendations.","Every money page explains how recommendations are made and when they were updated.","pending"
"11","Logo/branding","header + favicon","Logo needs brand presence and padding.","Use supplied orange mark, cropped for web, with internal padding and favicon references.","Logo is visible at small sizes and not jammed against its container.","done_local"
"12","Visual system","styles.css","Pages feel too dark/busy in places.","Move toward light comparison-guide surfaces, orange CTAs, less texture, more whitespace.","The site feels like a premium guide, not a dark dashboard or database dump.","in_progress_local"
"13","All Brands directory","/brand-directory/","Directory still needs to be useful, not a junk drawer.","Keep coverage table here, add search/filter explanation and warning that recommendations live on Top Picks pages.","Directory is clearly a research tool, not the recommended first path.","pending"
"14","Search","global future feature","Users may expect brand/country/diet search.","Add lightweight brand search/autocomplete once core pages are polished.","Users can find a brand or country without scanning the directory table.","pending"
"15","Mobile polish","all templates","Dense pages must remain usable on mobile.","Ensure header, matcher, cards, CTAs, and tables collapse cleanly.","No horizontal overflow or clipped primary content on mobile.","pending"
