rank,brand,route,review,monetization_path,countries,categories,official_urls,first_email_angle,human_gate
1,HelloFresh,/go/hellofresh/,/reviews/hellofresh/,affiliate application,US | Global | New Zealand | Germany | France | Netherlands | sweden | denmark | norway | belgium | switzerland | austria | new-zealand,meal kit,https://www.hellofresh.com/ | https://www.hellofresh.co.nz/ | https://www.hellofresh.de/ | https://www.hellofresh.fr/ | https://www.hellofresh.nl/ | https://www.hellofresh.se/ | https://www.hellofresh.dk/ | https://www.hellofresh.no/ | https://www.hellofresh.be/ | https://www.hellofresh.ch/ | https://www.hellofresh.at/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh.,"Requires live domain, analytics, and user approval before sending"
2,Marley Spoon,/go/marley-spoon/,/reviews/marley-spoon/,affiliate application,US | Global | Germany | Netherlands | belgium | austria,meal kit | meal kit and prepared meals,https://marleyspoon.com/ | https://marleyspoon.de/ | https://marleyspoon.nl/ | https://marleyspoon.be/ | https://marleyspoon.at/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Marley Spoon.,"Requires live domain, analytics, and user approval before sending"
3,Chefs Plate,/go/chefs-plate/,/reviews/chefs-plate/,affiliate application,Canada,meal kit,https://www.chefsplate.com/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Chefs Plate.,"Requires live domain, analytics, and user approval before sending"
4,CookUnity,/go/cookunity/,/reviews/cookunity/,affiliate application,US,prepared meals,https://www.cookunity.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to CookUnity.,"Requires live domain, analytics, and user approval before sending"
5,Factor,/go/factor/,/reviews/factor/,affiliate application,US | Global | Germany | Netherlands | sweden | belgium,prepared meals,https://www.factor75.com/ | https://www.factormeals.de/?locale=en-DE | https://www.factormeals.nl/kant-en-klare-maaltijden?locale=en-NL | https://www.factormeals.se/fardigratter?locale=en-SE | https://www.factormeals.be/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Factor.,"Requires live domain, analytics, and user approval before sending"
6,Gousto,/go/gousto/,/reviews/gousto/,affiliate application,UK,meal kit,https://www.gousto.co.uk/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Gousto.,"Requires live domain, analytics, and user approval before sending"
7,HelloFresh Australia,/go/hellofresh-australia/,/reviews/hellofresh-australia/,affiliate application,Australia,meal kit,https://www.hellofresh.com.au/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh Australia.,"Requires live domain, analytics, and user approval before sending"
8,HelloFresh Canada,/go/hellofresh-canada/,/reviews/hellofresh-canada/,affiliate application,Canada,meal kit,https://www.hellofresh.ca/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh Canada.,"Requires live domain, analytics, and user approval before sending"
9,HelloFresh UK,/go/hellofresh-uk/,/reviews/hellofresh-uk/,affiliate application,UK,meal kit,https://www.hellofresh.co.uk/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh UK.,"Requires live domain, analytics, and user approval before sending"
10,Aarstiderne,/go/aarstiderne/,/reviews/aarstiderne/,direct partnership outreach,denmark,organic meal kit,https://www.aarstiderne.com/,Dinner Compare is building country/category comparison pages for organic meal kit shoppers and can route high-intent buyers to Aarstiderne.,"Requires live domain, analytics, and user approval before sending"
