site,page_type,parent_slug,slug,url,primary_keyword,secondary_keywords,intent,funnel_stage,location,service_or_topic,target_persona,title,meta_description,h1,content_angle,internal_links,schema_type,status,priority,metric_source,notes
Dinner Compare,home,,/,https://dinnercompare.com/,meal delivery comparison,"meal kits, prepared meals, meal delivery deals",commercial,mid,,,busy consumers,Dinner Compare | Meal Kits Prepared Meals and Deals,"Compare meal kits, prepared meals, and easy dinner subscriptions by price, diet, family fit, and current deals.",Find the Best Easy Dinner for You.,"Consumer-first matcher for normal dinner decisions.","/best/meal-delivery-services/;/deals/best-meal-delivery-deals/;/vs/hellofresh-vs-gousto/;/reviews/factor/",WebSite,built,P0,needs_live_metrics,"Homepage exists locally; final domain still pending."
Dinner Compare,category,best,meal-delivery-services,https://dinnercompare.com/best/meal-delivery-services/,best meal delivery services,"best meal delivery, meal kits vs prepared meals, meal delivery deals",commercial,bottom,global,meal delivery,comparison shoppers,Best Meal Delivery Services | Dinner Compare,"Compare the best meal delivery services by price, prep time, diet fit, country, and current deals.",Best Meal Delivery Services,"Main commercial hub ranking meal kits and prepared meals by routine fit first.","/best/prepared-meal-delivery/;/best/meal-kits/;/deals/best-meal-delivery-deals/;/methodology/",ItemList,built,P0,needs_live_metrics,"Needs current brand facts, screenshots, and deal verification."
Dinner Compare,deal,deals,best-meal-delivery-deals,https://dinnercompare.com/deals/best-meal-delivery-deals/,best meal delivery deals,"meal delivery coupons, meal kit deals, prepared meal discounts",transactional,bottom,global,deals,deal seekers,Best Meal Delivery Deals | Dinner Compare,"Find the best current meal delivery deals, first-box discounts, prepared meal offers, and meal-kit coupons.",Best Meal Delivery Deals,"Deal page that explains final price and cancellation risk, not just headline discounts.","/go/hellofresh/;/go/factor/;/deals/hellofresh/;/deals/factor/",WebPage,built,P0,needs_live_metrics,"Do not add exact coupon numbers until verified live."
Dinner Compare,comparison,vs,factor-vs-cookunity,https://dinnercompare.com/vs/factor-vs-cookunity/,factor vs cookunity,"Factor or CookUnity, prepared meal comparison, best prepared meals",commercial,bottom,US,prepared meals,busy professionals,Factor vs CookUnity | Dinner Compare,"Compare Factor and CookUnity for prepared meals, taste, price, convenience, and nutrition fit.",Factor vs CookUnity,"High-intent prepared-meal versus page for no-cook buyers.","/best/prepared-meal-delivery/;/reviews/factor/;/reviews/cookunity/;/deals/best-meal-delivery-deals/",Article,built,P0,needs_live_metrics,"Strong first page to deepen because both have affiliate potential."
Dinner Compare,category,best,prepared-meal-delivery,https://dinnercompare.com/best/prepared-meal-delivery/,best prepared meal delivery,"ready made meals, prepared meals delivered, no cook meal delivery",commercial,bottom,global,prepared meals,busy people,Best Prepared Meal Delivery | Dinner Compare,"Compare prepared meal delivery services for busy people, high-protein eating, taste, and convenience.",Best Prepared Meal Delivery,"Prepared-meal hub for buyers who do not want to cook.","/vs/factor-vs-cookunity/;/reviews/factor/;/best/high-protein-meal-delivery/;/deals/best-meal-delivery-deals/",ItemList,built,P0,needs_live_metrics,"Needs richer prepared meal criteria and current service availability."
Dinner Compare,category,best,cheap-meal-delivery,https://dinnercompare.com/best/cheap-meal-delivery/,cheapest meal delivery,"cheap meal kits, budget meal delivery, affordable meal kits",commercial,bottom,global,budget,budget shoppers,Cheapest Meal Delivery Services | Dinner Compare,"Compare cheap meal delivery services and budget-friendly meal kits by value, price per serving, and deals.",Cheapest Meal Delivery Services,"Budget angle where first-box discounts must be separated from ongoing cost.","/best/budget-meal-kits/;/vs/everyplate-vs-dinnerly/;/deals/best-meal-delivery-deals/",ItemList,built,P0,needs_live_metrics,"Needs careful price language with ranges only after live verification."
Dinner Compare,review,reviews,factor,https://dinnercompare.com/reviews/factor/,factor meals review,"Factor review, Factor meals worth it, Factor prepared meals",commercial,bottom,US,Factor,busy health-focused buyers,Factor Meals Review | Dinner Compare,"Factor Meals review: taste, value, nutrition, convenience, current deals, and alternatives to consider.",Factor Meals Review,"Review page should become a conversion page with alternatives and deal risk notes.","/vs/factor-vs-cookunity/;/best/prepared-meal-delivery/;/deals/factor/;/go/factor/",Review,built,P0,needs_live_metrics,"Do not imply first-hand testing until meals are actually tested."
Dinner Compare,comparison,vs,hellofresh-vs-gousto,https://dinnercompare.com/vs/hellofresh-vs-gousto/,hellofresh vs gousto,"Gousto or HelloFresh, UK meal kits, meal kit comparison",commercial,bottom,UK,meal kits,UK households,HelloFresh vs Gousto | Dinner Compare,"HelloFresh vs Gousto: compare price, prep time, recipe variety, family fit, delivery area, and current deals.",HelloFresh vs Gousto,"UK comparison page with strong consumer intent.","/countries/uk/best-meal-kits/;/best/meal-kits/;/deals/best-meal-delivery-deals/",Article,built,P1,needs_live_metrics,"Good page after UK affiliate availability is clear."
Dinner Compare,category,best,high-protein-meal-delivery,https://dinnercompare.com/best/high-protein-meal-delivery/,best high protein meal delivery,"high protein prepared meals, fitness meal delivery, protein meal kits",commercial,mid,global,high protein,fitness buyers,Best High-Protein Meal Delivery | Dinner Compare,"Compare high-protein meal delivery services for busy people, fitness routines, and no-cook dinners.",Best High-Protein Meal Delivery,"Diet-intent page for people with a clear need and higher purchase intent.","/reviews/factor/;/best/prepared-meal-delivery/;/best/healthy-meal-delivery/",ItemList,built,P1,needs_live_metrics,"Avoid medical/nutrition claims beyond general fit."
Dinner Compare,country,countries/us,best-meal-delivery,https://dinnercompare.com/countries/us/best-meal-delivery/,best meal delivery services us,"US meal kits, US prepared meals, meal delivery USA",commercial,bottom,US,meal delivery,US buyers,Best Meal Delivery in the US | Dinner Compare,"Compare the best US meal delivery services by price, prepared meals, meal kits, and current deals.",Best Meal Delivery in the US,"Country page to keep recommendations region-practical.","/best/meal-delivery-services/;/best/prepared-meal-delivery/;/vs/factor-vs-cookunity/",WebPage,built,P1,needs_live_metrics,"Needs delivery-area fact refresh before launch promotion."
Dinner Compare,company,,methodology,https://dinnercompare.com/methodology/,meal delivery comparison methodology,"how we rank meal delivery, editorial policy",informational,trust,global,trust,readers and partners,How Dinner Compare Ranks Meal Delivery Services | Dinner Compare,"Dinner Compare methodology: how we evaluate meal kits, prepared meals, deals, affiliate links, and consumer fit.",How Dinner Compare Ranks Meal Delivery Services,"Trust page that explains editorial criteria and limits.","/affiliate-disclosure/;/privacy/;/best/meal-delivery-services/",WebPage,built,P0,local,"Trust/legal support page generated locally."
Dinner Compare,company,,affiliate-disclosure,https://dinnercompare.com/affiliate-disclosure/,affiliate disclosure,"partner links, sponsored links, affiliate policy",informational,trust,global,trust,readers and partners,Affiliate Disclosure | Dinner Compare,"Dinner Compare affiliate disclosure and how partner links are handled.",Affiliate Disclosure,"Required affiliate trust page.","/methodology/;/privacy/;/contact/",WebPage,built,P0,local,"Trust/legal support page generated locally."
