country,country_slug,category_cluster,brand_a,brand_b,winner,url,status
Belgium,belgium,meal kits,15gram,Simply You Box,15gram,/vs/15gram-vs-simply-you-box-belgium-meal-kits/,generated
Belgium,belgium,meal kits,15gram,Smartmat,15gram,/vs/15gram-vs-smartmat-belgium-meal-kits/,generated
Serbia,serbia,diet meal delivery,28Ishrana,Vit Fit Serbia,28Ishrana,/vs/28ishrana-vs-vit-fit-serbia-serbia-diet-meal-delivery/,generated
United States,us,shelf-stable meals,A Dozen Cousins Rice & Beans,Banza,Banza,/vs/a-dozen-cousins-rice-and-beans-vs-banza-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins Rice & Beans,Goodles,Goodles,/vs/a-dozen-cousins-rice-and-beans-vs-goodles-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins Rice & Beans,Maya Kaimal Everyday Dal,Maya Kaimal Everyday Dal,/vs/a-dozen-cousins-rice-and-beans-vs-maya-kaimal-everyday-dal-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins Rice & Beans,Tasty Bite Protein Bowls,Tasty Bite Protein Bowls,/vs/a-dozen-cousins-rice-and-beans-vs-tasty-bite-protein-bowls-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,A Dozen Cousins Rice & Beans,A Dozen Cousins,/vs/a-dozen-cousins-vs-a-dozen-cousins-rice-and-beans-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Banza,A Dozen Cousins,/vs/a-dozen-cousins-vs-banza-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Goodles,A Dozen Cousins,/vs/a-dozen-cousins-vs-goodles-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Maya Kaimal Everyday Dal,A Dozen Cousins,/vs/a-dozen-cousins-vs-maya-kaimal-everyday-dal-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Maya Kaimal,Maya Kaimal,/vs/a-dozen-cousins-vs-maya-kaimal-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Proper Good,Proper Good,/vs/a-dozen-cousins-vs-proper-good-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Tasty Bite Protein Bowls,A Dozen Cousins,/vs/a-dozen-cousins-vs-tasty-bite-protein-bowls-us-shelf-stable-meals/,generated
United States,us,shelf-stable meals,A Dozen Cousins,Tasty Bite,Tasty Bite,/vs/a-dozen-cousins-vs-tasty-bite-us-shelf-stable-meals/,generated
Australia,australia,diet meal delivery,A Life Plus,Jenny Craig Australia,A Life Plus,/vs/a-life-plus-vs-jenny-craig-australia-australia-diet-meal-delivery/,generated
Australia,australia,diet meal delivery,A Life Plus,Weight Watchers Meals Australia,A Life Plus,/vs/a-life-plus-vs-weight-watchers-meals-australia-australia-diet-meal-delivery/,generated
Denmark,denmark,meal kits,Aarstiderne,HelloFresh Denmark,Aarstiderne,/vs/aarstiderne-vs-hellofresh-denmark-denmark-meal-kits/,generated
Denmark,denmark,meal kits,Aarstiderne,HelloFresh,HelloFresh,/vs/aarstiderne-vs-hellofresh-denmark-meal-kits/,generated
Denmark,denmark,meal kits,Aarstiderne,RetNemt,Aarstiderne,/vs/aarstiderne-vs-retnemt-denmark-meal-kits/,generated
Denmark,denmark,meal kits,Aarstiderne,Skagenfood,Aarstiderne,/vs/aarstiderne-vs-skagenfood-denmark-meal-kits/,generated
United Kingdom,uk,meal kits,Abel & Cole Recipe Boxes,Dishpatch,Dishpatch,/vs/abel-and-cole-recipe-boxes-vs-dishpatch-uk-meal-kits/,generated
United Kingdom,uk,meal kits,Abel & Cole Recipe Boxes,My Supper Hero,Abel & Cole Recipe Boxes,/vs/abel-and-cole-recipe-boxes-vs-my-supper-hero-uk-meal-kits/,generated
United Kingdom,uk,grocery dinner delivery,Abel & Cole,M&S Cook Menu,Abel & Cole,/vs/abel-and-cole-vs-mands-cook-menu-uk-grocery-dinner-delivery/,generated
United Kingdom,uk,grocery dinner delivery,Abel & Cole,Riverford,Riverford,/vs/abel-and-cole-vs-riverford-uk-grocery-dinner-delivery/,generated
United Kingdom,uk,grocery dinner delivery,Abel & Cole,SimplyCook,SimplyCook,/vs/abel-and-cole-vs-simplycook-uk-grocery-dinner-delivery/,generated
United Kingdom,uk,grocery dinner delivery,Abel & Cole,Waitrose Ready Meals,Abel & Cole,/vs/abel-and-cole-vs-waitrose-ready-meals-uk-grocery-dinner-delivery/,generated
Australia,australia,prepared meal delivery,Activate Foods,Aussie Meal Prep,Activate Foods,/vs/activate-foods-vs-aussie-meal-prep-australia-prepared-meal-delivery/,generated
Australia,australia,prepared meal delivery,Activate Foods,Bondi Meal Prep,Activate Foods,/vs/activate-foods-vs-bondi-meal-prep-australia-prepared-meal-delivery/,generated
India,india,diet meal delivery,ACTIVeat,Calorie Care,ACTIVeat,/vs/activeat-vs-calorie-care-india-diet-meal-delivery/,generated
India,india,diet meal delivery,ACTIVeat,Fitelo,ACTIVeat,/vs/activeat-vs-fitelo-india-diet-meal-delivery/,generated
India,india,diet meal delivery,ACTIVeat,Fitmeals India,ACTIVeat,/vs/activeat-vs-fitmeals-india-india-diet-meal-delivery/,generated
India,india,diet meal delivery,ACTIVeat,Kcal Healthy Food,ACTIVeat,/vs/activeat-vs-kcal-healthy-food-india-diet-meal-delivery/,generated
United States,us,frozen meal delivery,Afia,Balanced Bites,Afia,/vs/afia-vs-balanced-bites-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Afia,Caulipower,Afia,/vs/afia-vs-caulipower-us-frozen-meal-delivery/,generated
United States,us,frozen meal delivery,Afia,Good Food Made Simple,Afia,/vs/afia-vs-good-food-made-simple-us-frozen-meal-delivery/,generated
Portugal,portugal,prepared meal delivery,Algarve Chef Delivered,MyChef Algarve,MyChef Algarve,/vs/algarve-chef-delivered-vs-mychef-algarve-portugal-prepared-meal-delivery/,generated
United Kingdom,uk,prepared meal delivery,All About The Cooks,Cook My Grub,Cook My Grub,/vs/all-about-the-cooks-vs-cook-my-grub-uk-prepared-meal-delivery/,generated
United Kingdom,uk,prepared meal delivery,All About The Cooks,Ginger & Lime,Ginger & Lime,/vs/all-about-the-cooks-vs-ginger-and-lime-uk-prepared-meal-delivery/,generated
United Kingdom,uk,prepared meal delivery,All About The Cooks,Lions Prep,All About The Cooks,/vs/all-about-the-cooks-vs-lions-prep-uk-prepared-meal-delivery/,generated
United Kingdom,uk,prepared meal delivery,All About The Cooks,Potage,Potage,/vs/all-about-the-cooks-vs-potage-uk-prepared-meal-delivery/,generated
United Kingdom,uk,prepared meal delivery,All About The Cooks,Tweakd,Tweakd,/vs/all-about-the-cooks-vs-tweakd-uk-prepared-meal-delivery/,generated
Switzerland,switzerland,prepared meal delivery,Allcook Kitchen,merciChef,merciChef,/vs/allcook-kitchen-vs-mercichef-switzerland-prepared-meal-delivery/,generated
