country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Japan,Oisix,meal kit and grocery dinner delivery,P1,active,Japanese grocery and meal-kit service with regular daily-meal delivery and Kit Oisix style dinner kits,https://en.oisixradaichi.co.jp/services/,direct partnership,official_source_checked_2026-06-24,Add to Japan meal-kit and grocery-dinner pages
Japan,Yoshikei,meal kit,P1,active,Japanese home meal-kit and dinner ingredient delivery brand with broad household dinner demand,https://yoshikei-dvlp.co.jp/,direct partnership,official_source_checked_2026-06-24,Add to Japan meal-kit anchor pages
Japan,nosh Japan,frozen prepared meals,P1,active,"Japanese frozen prepared meal delivery brand with healthy, low-carb, ready-meal positioning",https://nosh.jp/,direct partnership,official_source_checked_2026-06-24,Add to Japan frozen prepared meal pages
Japan,Muscle Deli,high protein prepared meals,P1,active,Japanese high-protein diet and fitness meal delivery brand,https://muscledeli.jp/,direct partnership,official_source_checked_2026-06-24,Add to Japan high-protein and diet meal pages
Japan,Easy Meals Japan,prepared meals,P2,active,"Japan-wide Western-style fresh prepared meal delivery with high-protein, vegan, halal, family, and low-calorie options",https://www.easymealsjapan.com/,direct partnership,official_source_checked_2026-06-24,Add to Japan English-friendly prepared meal pages
Japan,Nu-Table,prepared meals,P3,active,Japanese homemade meal delivery service with rotating menus and recurring plan model,https://www.nu-table.com/,direct partnership,official_source_checked_2026-06-24,Add to Japan local prepared meal challenger pages
South Korea,Fresheasy,meal kit,P1,active,South Korean leading meal-kit brand referenced in K-food trade sources as a major industry player,https://www.fresheasy.co.kr/,direct partnership,official_and_trade_source_checked_2026-06-24,Add to Korea meal-kit anchor pages
South Korea,MyChef,meal kit,P1,active,South Korean meal-kit company referenced as one of the country's first and major meal-kit operators,https://www.mychef.kr/,direct partnership,official_and_trade_source_checked_2026-06-24,Add to Korea meal-kit comparisons
South Korea,Cookat,prepared meals,P2,active,Korean ready-food and meal brand with prepared meal and convenience-food relevance,https://www.cookatmarket.com/,direct partnership,official_and_trade_source_checked_2026-06-24,Add to Korea prepared meal pages
South Korea,Wingeat,prepared meals,P2,active,South Korean prepared meal and food-commerce brand referenced in Korean meal-kit market sources,https://www.wingeat.com/,direct partnership,official_and_trade_source_checked_2026-06-24,Add to Korea prepared meal challenger pages
Mexico,Manzana Verde,diet prepared meals,P1,active_app_route,healthy meal subscription app with home/office delivery in Mexico plus Peru and Colombia signals,https://play.google.com/store/apps/details?id=la.manzana_verde_app,direct partnership after checkout check,app_store_source_checked_2026-06-24,Add to Mexico healthy diet prepared meal pages with app-route caveat
