country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
US,HelloFresh,meal kit,P0,active_on_site,mainstream meal kit,https://www.hellofresh.com/,yes,ledger_verified,"Keep as top global meal-kit page, deal page, review, and vs anchor"
US,Factor,prepared meals,P0,active_on_site,no-cook prepared meals,https://www.factor75.com/,yes,ledger_verified,Keep as prepared-meal P0 and apply once live domain exists
US,CookUnity,prepared meals,P0,active_on_site,chef-made prepared meals,https://www.cookunity.com/,yes,ledger_verified,Keep as chef-prepared P0 and ZIP-dependent check
US,Home Chef,meal kit,P1,active_on_site,mainstream meal kit,https://www.homechef.com/,yes,ledger_verified,Expand US comparison pages and affiliate application target
US,EveryPlate,budget meal kit,P1,active_on_site,cheap meal kit,https://www.everyplate.com/,yes,ledger_verified,Expand cheap meal delivery and EveryPlate vs Dinnerly
US,Dinnerly,budget meal kit,P1,active_on_site,cheap meal kit,https://dinnerly.com/,yes,ledger_verified,Expand budget meal-kit coverage and Marley Spoon parent angle
US,Green Chef,meal kit,P2,active_on_site,healthy diet meal kit,https://www.greenchef.com/,yes,ledger_verified,"Use for keto, gluten-free, healthy meal-kit pages"
US,Purple Carrot,plant-based meal kit,P2,active_on_site,vegan specialist,https://www.purplecarrot.com/,yes,ledger_verified,Use for vegan and plant-based pages
US,Blue Apron,meal kit,P1,active,"US mainstream meal-kit brand with recipes, pre-portioned ingredients, and broad comparison demand",https://www.blueapron.com/,affiliate application,official_source_checked_2026-06-24,Promote from missing-priority to active route-ready coverage
US,Marley Spoon,meal kit,P1,active,"US recipe-led meal-kit brand for premium cooking-kit comparisons against Blue Apron, Dinnerly, and HelloFresh",https://marleyspoon.com/,affiliate application,official_source_checked_2026-06-24,Promote from missing-priority to active route-ready coverage
US,Hungryroot,grocery dinner delivery,P0,active,"personalized grocery-dinner service combining meal-kit convenience, grocery variety, recipes, and dietary filters",https://www.hungryroot.com/,affiliate application,official_source_checked_2026-06-24,Use as US grocery-dinner anchor
US,Gobble,fast-prep meal kit,P1,active,"15-minute meal kit with freshly prepped ingredients, flexible plans, classic, lean and clean, and vegetarian routes",https://www.gobble.com/,affiliate application,official_source_checked_2026-06-24,Promote to US fast-prep meal-kit anchor and compare against Home Chef and Blue Apron
US,Daily Harvest,frozen plant-based meals,P1,active,"frozen plant-based smoothies, bowls, soups, and no-prep meal delivery",https://www.daily-harvest.com/,affiliate application,official_source_checked_2026-06-24,Add to US frozen vegan and smoothie meal pages
US,Splendid Spoon,prepared meals,P2,active,"plant-based prepared bowls, smoothies, soups, and wellness meal delivery",https://splendidspoon.com/,affiliate application,official_source_checked_2026-06-24,"Add to vegan, smoothie, and prepared meal pages"
US,Mosaic Foods,frozen plant-based meals,P1,active,"healthy frozen plant-centric meals, bowls, family meals, soups, smoothies, and no-prep dinners",https://www.mosaicfoods.com/,direct partnership,official_source_checked_2026-06-24,"Add to frozen, vegan, and family prepared-meal pages"
US,Sakara,premium plant-based prepared meals,P1,active,"premium plant-based nutrition programs, prepared meals, and wellness delivery",https://www.sakara.com/,affiliate application,official_source_checked_2026-06-24,"Add to premium wellness, plant-based, and prepared-meal pages"
US,Methodology,premium prepared meals,P2,active,premium prepared meal delivery with clean ingredient and reusable-container positioning,https://www.gomethodology.com/,affiliate application,official_source_checked_2026-06-24,Use for premium healthy prepared-meal comparison
US,Trifecta,fitness prepared meals,P0,active,performance-focused high-protein prepared meals with dietitian and chef-built plans,https://www.trifectanutrition.com/,affiliate application,official_source_checked_2026-06-24,Promote to US high-protein anchor and apply after domain is live
US,Territory Foods,prepared meals,P1,active,local chef prepared meals with diet filters and prepared delivery positioning,https://www.territoryfoods.com/,affiliate application,official_source_checked_2026-06-24,Use for diet-filtered prepared-meal comparisons and verify delivery footprint
US,Thistle,prepared meals,P1,active,"fresh ready-to-eat meals with plant and meat protein options, nutritionist-designed menus, and delivery",https://www.thistle.co/,affiliate application,official_source_checked_2026-06-24,Use for US premium healthy prepared-meal and high-protein pages
US,bistroMD,diet prepared meals,P1,active,dietitian-designed chef-prepared weight-loss and wellness meal delivery with specialized programs,https://www.bistromd.com/,affiliate application,official_source_checked_2026-06-24,"Add to US diet, weight-loss, diabetic, and high-protein pages"
US,Nutrisystem,diet prepared meals,P1,missing_priority,weight-loss meal plan,https://www.nutrisystem.com/,likely,needs_official_check,Add diet meal-plan comparison
US,Diet-to-Go,diet prepared meals,P1,active,diet prepared meal delivery brand for weight-loss and structured plans,https://www.diettogo.com/,affiliate application,official_source_checked_2026-06-24,Add to US diet meal delivery and weight-loss comparisons
US,ModifyHealth,medical diet meals,P1,active,"medically tailored prepared meals focused on low-FODMAP, Mediterranean, and condition-specific nutrition",https://www.modifyhealth.com/,affiliate application,official_source_checked_2026-06-24,Add to medical diet and low-FODMAP meal pages
US,Epicured,medical diet meals,P1,active,low-FODMAP and gluten-free fresh meal delivery for digestive health,https://www.epicured.com/,direct partnership,official_source_checked_2026-06-24,Use as medical/specialist diet meal anchor
US,The Good Kitchen,prepared meals,P2,missing_priority,clean prepared meals,https://www.thegoodkitchen.com/,possible,needs_official_check,Check current operations and affiliate
US,Pete's Real Food,paleo prepared meals,P2,active_content_needs_checkout_check,paleo-friendly real-food brand with current site content and historical heat-and-eat meal demand,https://www.petesrealfood.com/,direct partnership after checkout check,official_source_checked_2026-06-24,Keep accounted but verify live meal checkout before strong recommendation
