"page_type","primary_keyword","url","country","meal_type","partner_brand","monetization_status","current_status","priority","next_action","notes"
"best","best meal delivery services","https://www.everymealguide.com/best/meal-delivery-services/","Global","all","","affiliate-ready-after-approvals","needs live SEO polish","1","Make above fold explain meal kit vs prepared vs budget vs diet, then push to top comparison and go routes.","Core commercial page."
"best","best prepared meal delivery","https://www.everymealguide.com/best/prepared-meal-delivery/","Global","prepared","","affiliate-ready-after-approvals","needs live SEO polish","2","Add sharper heat-and-eat shortlist, current deal notes, and internal links to Factor/CookUnity reviews.","Core commercial page."
"best","best meal kits","https://www.everymealguide.com/best/meal-kits/","Global","meal-kit","","affiliate-ready-after-approvals","needs live SEO polish","3","Lead with cook-yourself fit, then compare HelloFresh, Gousto, EveryPlate, Dinnerly, Home Chef.","Core commercial page."
"best","best high protein meal delivery","https://www.everymealguide.com/best/high-protein-meal-delivery/","Global","high-protein","","affiliate-ready-after-approvals","needs live SEO polish","4","Separate fitness meal prep from generic healthy meal delivery and link to protein-heavy reviews.","Core commercial page."
"best","cheapest meal delivery service","https://www.everymealguide.com/best/cheap-meal-delivery/","Global","budget","","affiliate-ready-after-approvals","needs live SEO polish","5","Add first-box versus second-box warning and compare budget brands.","Core commercial page."
"best","best meal delivery for families","https://www.everymealguide.com/best/meal-kits-for-families/","Global","family","","affiliate-ready-after-approvals","needs live SEO polish","6","Focus on serving count, kid fit, leftovers, cancellation and weekly routine.","Core commercial page."
"best","best vegan meal delivery","https://www.everymealguide.com/best/vegan-meal-delivery/","Global","vegan","","affiliate-ready-after-approvals","needs live SEO polish","7","Separate plant-based specialists from mainstream services with vegan filters.","Core commercial page."
"best","best keto meal delivery","https://www.everymealguide.com/best/keto-meal-delivery/","Global","keto","","affiliate-ready-after-approvals","needs live SEO polish","8","Avoid medical claims; frame as keto-friendly filters and checkout verification.","Core commercial page."
"best","best gluten free meal delivery","https://www.everymealguide.com/best/gluten-free-meal-delivery/","Global","gluten-free","","affiliate-ready-after-approvals","needs live SEO polish","9","Add ingredient and cross-contamination caveat; do not overclaim certification.","Core commercial page."
"deals","best meal delivery deals","https://www.everymealguide.com/deals/best-meal-delivery-deals/","Global","all","","affiliate-ready-after-approvals","needs weekly offer loop","10","Turn into weekly offer-control page with last checked dates and box-two risk.","Core commercial page."
"country","best meal delivery US","https://www.everymealguide.com/countries/us/best-meal-delivery/","US","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","20","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 250"
"country","best meal delivery UK","https://www.everymealguide.com/countries/uk/best-meal-delivery/","UK","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","21","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 91"
"country","best meal delivery Australia","https://www.everymealguide.com/countries/australia/best-meal-delivery/","Australia","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","22","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 74"
"country","best meal delivery Canada","https://www.everymealguide.com/countries/canada/best-meal-delivery/","Canada","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","23","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 72"
"country","best meal delivery Ireland","https://www.everymealguide.com/countries/ireland/best-meal-delivery/","Ireland","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","24","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 32"
"country","best meal delivery Germany","https://www.everymealguide.com/countries/germany/best-meal-delivery/","Germany","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","25","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 19"
"country","best meal delivery France","https://www.everymealguide.com/countries/france/best-meal-delivery/","France","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","26","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 19"
"country","best meal delivery Netherlands","https://www.everymealguide.com/countries/netherlands/best-meal-delivery/","Netherlands","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","27","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 19"
"country","best meal delivery New Zealand","https://www.everymealguide.com/countries/new-zealand/best-meal-delivery/","New Zealand","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","28","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 18"
"country","best meal delivery uae","https://www.everymealguide.com/countries/uae/best-meal-delivery/","uae","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","29","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 15"
"country","best meal delivery Japan","https://www.everymealguide.com/countries/japan/best-meal-delivery/","Japan","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","30","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 14"
"country","best meal delivery singapore","https://www.everymealguide.com/countries/singapore/best-meal-delivery/","singapore","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","31","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 14"
"country","best meal delivery spain","https://www.everymealguide.com/countries/spain/best-meal-delivery/","spain","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","32","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 13"
"country","best meal delivery india","https://www.everymealguide.com/countries/india/best-meal-delivery/","india","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","33","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 12"
"country","best meal delivery italy","https://www.everymealguide.com/countries/italy/best-meal-delivery/","italy","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","34","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 12"
"country","best meal delivery Mexico","https://www.everymealguide.com/countries/mexico/best-meal-delivery/","Mexico","all","","affiliate-ready-after-approvals","needs country-specific editorial pass","35","Add local intro, top local brands, delivery caveat, current deal route links, and country table.","Built from CSV coverage count: 11"
