country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action,source_note
France,HelloFresh,meal kit,1,active,major national meal kit,https://www.hellofresh.fr/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,"Official French site describes a box to cook, weekly recipes, pre-portioned ingredients, and flexible subscription."
France,Quitoque,meal kit,1,active,French meal kit leader,https://www.quitoque.fr/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official site positions Quitoque as a French meal box with weekly recipes and delivery across France.
France,Seazon,prepared meals,1,active,fresh chef-prepared ready meals,https://seazon.fr/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official site describes freshly cooked meals ready in 2 minutes.
France,Cheef,diet prepared meals,2,active,diet and balanced prepared meals,https://www.cheef.fr/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,"Official site describes home-delivered healthy, diet, balance, and health meals."
France,Dietbon,diet prepared meals,2,active,weight-loss meal programme,https://www.dietbon.fr/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official site describes a complete weight-loss meal programme with prepared meals ready in 2 minutes.
France,Les Commis,meal kit,2,active,French recipe basket,https://lescommis.com/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official site describes recipe baskets with pre-portioned ingredients and recipe cards.
Netherlands,HelloFresh,meal kit,1,active,major national meal kit,https://www.hellofresh.nl/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official Dutch site describes the number one meal box in the Netherlands with fresh ingredients and recipes.
Netherlands,Marley Spoon,meal kit and prepared meals,1,active,meal kit with ready-meal extras,https://marleyspoon.nl/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,"Official Dutch site describes recipe meals, ready prepared meals, extras, and affiliate programme footer link."
Netherlands,Factor,prepared meals,1,active,fresh ready-to-eat prepared meals,https://www.factormeals.nl/kant-en-klare-maaltijden?locale=en-NL,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official Dutch page describes prepared meals delivered by Factor from €5.99 per meal.
Netherlands,Ekomenu,organic meal kit,2,active,organic lifestyle meal kit,https://www.ekomenu.nl/hoewerkthet,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official page says Ekomenu delivers a meal box with fresh organic ingredients and recipes to the home.
Netherlands,Crisp Weekbox,meal kit,2,active,seasonal local weekbox,https://crisp.nl/weekbox,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official page describes a Weekbox built around Dutch vegetables and seasonal recipes.
Netherlands,Uitgekookt,prepared meals,2,active,fresh ready meals delivered at home,https://uitgekookt.nl/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official site describes healthy fresh ready meals delivered at home.
Netherlands,Smart Meals,fitness prepared meals,3,active,high-protein sports meals,https://www.smart-meals.nl/en/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,"Official site describes sports meals packed with proteins, vitamins, and minerals."
Netherlands,Freasy,frozen prepared meals,3,active,healthy frozen prepared meals,https://freasy.nl/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official site describes tasteful healthy eating without cooking with meals and subscriptions.
Netherlands,Vood,plant-based frozen meals,3,active,vegan prepared meals,https://voodmeals.com/en/maaltijden-aan-huis,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official page describes healthy vegan meals delivered weekly to the home.
Netherlands,Every Foods,plant-based frozen meals,3,active,plant-based frozen prepared meals,https://every-foods.nl/en,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,Official Netherlands page describes frozen plant-based meals delivered every 2 weeks or monthly.
