rank,country,brand,why_it_matters,first_output,affiliate_action,status
1,UK,Mindful Chef,Major UK healthy recipe-box competitor,best-uk-meal-delivery + review + vs Gousto,find program and apply after live domain,pending_research
2,UK,Frive,High-growth UK prepared-meal brand,best-uk-prepared-meals + review,find program and apply after live domain,pending_research
3,UK,Lions Prep,Strong UK fitness meal-prep intent,best-uk-meal-prep + review,find program and apply after live domain,pending_research
4,UK,Prep Kitchen,UK high-protein meal-prep competitor,best-uk-meal-prep + comparison,find program,pending_research
5,UK,Tastily,Prepared meals for no-cook UK buyers,best-uk-prepared-meals + review,find program,pending_research
6,UK,Field Doctor,Dietitian/frozen meal angle,best-healthy-ready-meals-uk,find program,pending_research
7,UK,SimplyCook,Cheap recipe-kit/high-volume discount angle,simplycook-vs-gousto + review,find program,pending_research
8,UK,Riverford,Organic recipe-box competitor,best-organic-recipe-boxes-uk,find program,pending_research
9,UK,Green Chef UK,Healthy meal-kit competitor,green-chef-uk-review + vs Mindful Chef,find program,pending_research
10,UK,Pasta Evangelists,Fresh pasta meal-kit intent,best-pasta-meal-kits-uk,find program,pending_research
11,Ireland,DropChef,Irish anchor brand and hybrid kit/prepared coverage,best-meal-delivery-ireland + review,find program,pending_research
12,Ireland,Clean Cut Meals,Irish prepared meals / fitness angle,best-meal-prep-ireland + review,find program,pending_research
13,Ireland,Gourmet Fuel,Irish meal-plan competitor,best-healthy-meal-delivery-ireland,find program,pending_research
14,Ireland,Eatto,Frozen prepared meals Ireland,best-ready-meals-ireland,find program,pending_research
15,Ireland,Fit Foods Ireland,Fitness meal-prep long-tail,best-high-protein-meal-prep-ireland,verify brand and program,pending_research
16,Australia,Youfoodz,Mass-market AU prepared meals,best-prepared-meals-australia + review,find program,pending_research
17,Australia,My Muscle Chef,AU high-protein leader,best-meal-prep-australia + review,find program,pending_research
18,Australia,Marley Spoon Australia,Major AU meal-kit competitor,hellofresh-vs-marley-spoon-australia,find program,pending_research
19,Australia,Dinnerly Australia,Budget AU meal-kit search intent,best-cheap-meal-kits-australia,find program,pending_research
20,Australia,EveryPlate Australia,Budget AU meal-kit competitor,everyplate-vs-dinnerly-australia,find program,pending_research
21,Australia,Chefgood,AU prepared meals competitor,chefgood-review + prepared meals hub,find program,pending_research
22,Australia,Soulara,AU vegan prepared meals,best-vegan-meal-delivery-australia,find program,pending_research
23,Australia,The Dinner Ladies,Family ready-meal angle,best-family-ready-meals-australia,find program,pending_research
24,Australia,Nourish'd,Healthy prepared meals AU,best-healthy-meal-delivery-australia,find program,pending_research
25,Australia,Macros,Macro prepared meals AU,best-macro-meal-delivery-australia,find program,pending_research
26,Australia,Lite n Easy,Diet/weight-loss ready meals AU,best-weight-loss-meal-delivery-australia,find program,pending_research
27,Canada,Chefs Plate,Canada budget meal-kit anchor,hellofresh-vs-chefs-plate,find program,pending_research
28,Canada,Goodfood,Canadian meal-kit anchor,best-meal-kits-canada + review,verify status and program,pending_research
29,Canada,Fresh Prep,Canada regional/quality competitor,fresh-prep-review + Canada hub,find program,pending_research
30,Canada,WeCook,Canada ready-to-eat competitor,best-prepared-meals-canada + review,find program,pending_research
31,Canada,CookUnity Canada,Chef-prepared Canada expansion,cookunity-canada-review,find program,pending_research
32,Canada,Cook it,Quebec/Canadian meal-kit competitor,best-meal-kits-quebec,find program,pending_research
33,US,Blue Apron,Classic US meal-kit comparison demand,hellofresh-vs-blue-apron + review,find program,pending_research
34,US,Marley Spoon,US recipe-led meal-kit competitor,marley-spoon-review + vs Blue Apron,find program,pending_research
35,US,Hungryroot,Hybrid grocery/meal-planning search demand,hungryroot-review + alternatives,find program,pending_research
36,US,Daily Harvest,Frozen healthy meals category,daily-harvest-review + alternatives,find program,pending_research
37,US,Trifecta,Fitness/high-protein prepared meals,best-high-protein-meal-delivery + review,find program,pending_research
38,US,Territory Foods,Prepared meals with regional delivery,territory-foods-review,find program,pending_research
39,US,BistroMD,Weight-loss meal delivery intent,best-weight-loss-meal-delivery + review,find program,pending_research
40,US,Nutrisystem,Weight-loss meal plan affiliate potential,nutrisystem-vs-bistromd,find program,pending_research
41,US,Tovala,Appliance + meal subscription angle,tovala-review + alternatives,find program,pending_research
42,US,Little Spoon,Kids meal delivery expansion,best-kids-meal-delivery,find program,pending_research
43,US,Gobble,Fast-prep meal-kit comparison,best-15-minute-meal-kits + review,find program,pending_research
44,US,Mosaic Foods,Frozen vegetarian meal delivery,best-frozen-vegetarian-meals,find program,pending_research
45,US,Sakara,Premium wellness meal delivery,sakara-review + alternatives,find program,pending_research
46,US,Methodology,Premium prepared meals,methodology-review + premium prepared hub,find program,pending_research
47,US,ModifyHealth,Medical-diet meal delivery intent with cautious copy,best-low-fodmap-meal-delivery,find program and legal-safe copy,pending_research
48,US,Epicured,Low-FODMAP prepared meals,best-low-fodmap-meal-delivery,find program and legal-safe copy,pending_research
49,UK,COOK,Frozen ready-meal UK competitor,best-frozen-ready-meals-uk,find program,pending_research
50,Canada,LiveFit Foods,Canadian prepared meals long-tail,best-meal-prep-canada,find program,pending_research
