priority_rank,brand,route,countries,categories,official_url,affiliate_target,next_action,owner_gate
1,15gram,/go/15gram/,Belgium,meal kit,https://15gram.be/,direct partnership,Add to Belgium recipe-box and meal-kit pages,apply_or_contact_after_domain_live
2,28Ishrana,/go/28ishrana/,Serbia,diet prepared meals,https://28ishrana.rs/en/,direct partnership,Add as Serbia/Belgrade diet meal delivery anchor,apply_or_contact_after_domain_live
3,518 Kitchen,/go/518-kitchen/,US,specialty prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
4,A Dozen Cousins,/go/a-dozen-cousins/,US,shelf-stable meals,https://adozencousins.com/,retail affiliate,Add to shelf-stable bean/rice dinner helper pages,apply_or_contact_after_domain_live
5,A Dozen Cousins Rice & Beans,/go/a-dozen-cousins-rice-and-beans/,US,shelf-stable meals,https://adozencousins.com/,retail affiliate,Add product-route variant for pantry dinner packs,apply_or_contact_after_domain_live
6,A Life Plus,/go/a-life-plus/,Australia,diet prepared meals,https://www.alifeplus.com.au/,direct partnership,Add to AU diet prepared meal challenger pages,apply_or_contact_after_domain_live
7,Aarstiderne,/go/aarstiderne/,denmark,organic meal kit,https://www.aarstiderne.com/,direct partnership,Position as organic/local alternative in Denmark,apply_or_contact_after_domain_live
8,Abel & Cole,/go/abel-and-cole/,UK,grocery dinner delivery,https://www.abelandcole.co.uk/,affiliate application,Add to UK organic grocery-dinner comparisons,apply_or_contact_after_domain_live
9,Abel & Cole Recipe Boxes,/go/abel-and-cole-recipe-boxes/,UK,organic meal kit,https://www.abelandcole.co.uk/,affiliate application,Promote from candidate to organic recipe-box coverage,apply_or_contact_after_domain_live
10,Activate Foods,/go/activate-foods/,Australia,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
11,allplants,/go/allplants/,UK,frozen plant-based meals,https://allplants.com/,affiliate application,Promote cautiously from watchlist with active-route caveat,apply_or_contact_after_domain_live
12,Angel Delivery,/go/angel-delivery/,New Zealand,frozen meals,https://www.angeldelivery.co.nz/,direct partnership,Add to New Zealand frozen and family meal pages,apply_or_contact_after_domain_live
13,Apetito UK,/go/apetito-uk/,UK,frozen senior meals,https://www.apetito.co.uk/,direct partnership,Add to UK senior frozen meal alternatives pages,apply_or_contact_after_domain_live
14,Athletes Kitchen,/go/athletes-kitchen/,Canada,high protein meal prep,https://athleteskitchen.ca/,direct partnership,Add to Canada fitness meal-prep pages,apply_or_contact_after_domain_live
15,Athletes Kitchen Toronto,/go/athletes-kitchen-toronto/,Canada,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
16,Aussie Meal Prep,/go/aussie-meal-prep/,Australia,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
17,Aussie Muscle Meals,/go/aussie-muscle-meals/,Australia,high protein meal prep,https://aussiemusclemeals.com.au/,direct partnership,Promote from candidate with route caveat,apply_or_contact_after_domain_live
18,Balance Box,/go/balance-box/,UK,diet prepared meals,https://www.balancebox.com/,direct partnership,Add to UK diet prepared-meal pages,apply_or_contact_after_domain_live
19,Balance Meals,/go/balance-meals/,UK,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
20,Balanced Bites,/go/balanced-bites/,US,frozen prepared meals,https://balancedbites.com/,direct partnership,Refresh official URL and add to specialty frozen meal pages,apply_or_contact_after_domain_live
21,Bargain Box,/go/bargain-box/,New Zealand; new-zealand,budget meal kit; meal kit,https://www.bargainbox.co.nz/,needs_research,Research affiliate or direct partner contact.,apply_or_contact_after_domain_live
22,Be Fit Food,/go/be-fit-food/,Australia,diet prepared meals,https://befitfood.com.au/,direct partnership,Add to AU diet and weight-loss comparisons,apply_or_contact_after_domain_live
23,bistroMD,/go/bistromd/,US,diet prepared meals,https://www.bistromd.com/,affiliate application,"Add to US diet, weight-loss, diabetic, and high-protein pages",apply_or_contact_after_domain_live
24,Blue Apron,/go/blue-apron/,US,meal kit,https://www.blueapron.com/,affiliate application,Promote from missing-priority to active route-ready coverage,apply_or_contact_after_domain_live
25,Body Chief,/go/body-chief/,Poland,diet prepared meals,https://bodychief.pl/,direct partnership,Add to Poland diet prepared meal pages,apply_or_contact_after_domain_live
26,BodyChef Ireland,/go/bodychef-ireland/,Ireland,diet prepared meals,https://bodychef.ie/,direct partnership,Add to Ireland diet prepared meal pages,apply_or_contact_after_domain_live
27,Bofrost,/go/bofrost/,germany,frozen meals,https://www.bofrost.de/,affiliate application,Add to Germany frozen meal delivery and family dinner pages,apply_or_contact_after_domain_live
28,BOL Foods,/go/bol-foods/,UK,ready meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
29,Bondi Meal Prep,/go/bondi-meal-prep/,Australia,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
30,Brisbane Meal Prep,/go/brisbane-meal-prep/,Australia,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
31,ButcherBox,/go/butcherbox/,US,protein box,https://www.butcherbox.com/,affiliate application,"Promote from candidate as protein-box adjacent, not full meal delivery",apply_or_contact_after_domain_live
32,Calo,/go/calo/,uae,prepared meals,https://calo.app/en,direct partnership,Add as app-led UAE/GCC comparison target,apply_or_contact_after_domain_live
33,Calori,/go/calori/,finland,prepared meals,https://calori.fi/,direct partnership,Lead Finland prepared-meals comparison and direct partnership outreach,apply_or_contact_after_domain_live
34,Catered Fit,/go/catered-fit/,US,prepared meals,https://www.cateredfit.com/,direct partnership,Add to regional prepared meal and diet meal pages,apply_or_contact_after_domain_live
35,Cerebelly,/go/cerebelly/,US,kids and baby meals,https://cerebelly.com/,affiliate application,Promote from candidate to baby and toddler food pages,apply_or_contact_after_domain_live
36,Charlie Bigham's,/go/charlie-bigham-s/,UK,premium ready meals,https://www.charliebighams.com/,retail affiliate,Promote from candidate to UK premium ready-meal pages,apply_or_contact_after_domain_live
37,Chef Made Meals Australia,/go/chef-made-meals-australia/,Australia,prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",apply_or_contact_after_domain_live
38,Chef Meals Australia,/go/chef-meals-australia/,Australia,prepared meals,,possible,Verify official URL and active status,apply_or_contact_after_domain_live
39,Chefgood,/go/chefgood/,Australia,prepared meals,https://chefgood.com.au/,direct partnership,Use as AU healthy prepared-meal challenger,apply_or_contact_after_domain_live
40,ChefPrep,/go/chefprep/,Australia,prepared meals,https://chefprep.com.au/,direct partnership,Add to AU chef-prepared meal marketplace pages,apply_or_contact_after_domain_live
41,Chefs for Foodies,/go/chefs-for-foodies/,UK,chef-led kits,https://chefsforfoodies.com/,possible,Track for long-tail UK pages,apply_or_contact_after_domain_live
