"priority","brand","slug","asset_needed","source_priority","status","local_target","next_action","notes"
"1","HelloFresh","hellofresh","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/hellofresh/","Collect after affiliate application/approval or official media-kit check.","Do not present as partner until approved."
"2","Factor","factor","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/factor/","Collect after affiliate application/approval or official media-kit check.","Prepared-meal priority."
"3","CookUnity","cookunity","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/cookunity/","Collect after affiliate application/approval or official media-kit check.","Premium prepared-meal priority."
"4","Gousto","gousto","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/gousto/","Collect after affiliate application/approval or official media-kit check.","Core UK meal-kit priority."
"5","Mindful Chef","mindful-chef","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/mindful-chef/","Collect after affiliate application/approval or official media-kit check.","UK healthy meal-kit priority."
"6","Chefs Plate","chefs-plate","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/chefs-plate/","Collect after affiliate application/approval or official media-kit check.","Canada priority."
"7","Youfoodz","youfoodz","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/youfoodz/","Collect after affiliate application/approval or official media-kit check.","Australia prepared-meal priority."
"8","My Muscle Chef","my-muscle-chef","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/my-muscle-chef/","Collect after affiliate application/approval or official media-kit check.","Australia high-protein priority."
"9","Blue Apron","blue-apron","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/blue-apron/","Collect after affiliate application/approval or official media-kit check.","US comparison priority."
"10","Marley Spoon","marley-spoon","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/marley-spoon/","Collect after affiliate application/approval or official media-kit check.","Global meal-kit comparison priority."
"11","EveryPlate","everyplate","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/everyplate/","Collect after affiliate application/approval or official media-kit check.","Budget meal-kit priority."
"12","Dinnerly","dinnerly","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/dinnerly/","Collect after affiliate application/approval or official media-kit check.","Budget meal-kit priority."
"13","Home Chef","home-chef","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/home-chef/","Collect after affiliate application/approval or official media-kit check.","Known affiliate route candidate."
"14","Green Chef","green-chef","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/green-chef/","Collect after affiliate application/approval or official media-kit check.","Healthy/diet meal-kit priority."
"15","Purple Carrot","purple-carrot","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/purple-carrot/","Collect after affiliate application/approval or official media-kit check.","Plant-based priority."
"16","Hungryroot","hungryroot","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/hungryroot/","Collect after affiliate application/approval or official media-kit check.","Grocery dinner shortcut priority."
"17","Thistle","thistle","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/thistle/","Collect after affiliate application/approval or official media-kit check.","Healthy prepared priority."
"18","Trifecta","trifecta","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/trifecta/","Collect after affiliate application/approval or official media-kit check.","Fitness meal-prep priority."
"19","Sprinly","sprinly","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/sprinly/","Collect after affiliate application/approval or official media-kit check.","Plant-based prepared priority."
"20","Little Spoon","little-spoon","logo, affiliate creatives, meal images","affiliate portal, official media kit, logo API","needs_source","assets/brands/little-spoon/","Collect after affiliate application/approval or official media-kit check.","Kids/family priority."
