brand,review_url,tracked_go_url,countries,categories,official_urls,monetization_path,priority_score,status,next_action
HelloFresh,/reviews/hellofresh/,/go/hellofresh/,US | Global | New Zealand | Germany | France | Netherlands | sweden | denmark | norway | belgium | switzerland | austria | new-zealand,meal kit,https://www.hellofresh.com/ | https://www.hellofresh.co.nz/ | https://www.hellofresh.de/ | https://www.hellofresh.fr/ | https://www.hellofresh.nl/ | https://www.hellofresh.se/ | https://www.hellofresh.dk/ | https://www.hellofresh.no/ | https://www.hellofresh.be/ | https://www.hellofresh.ch/ | https://www.hellofresh.at/,affiliate application,105,active,Create Sweden comparison and affiliate application target
Marley Spoon,/reviews/marley-spoon/,/go/marley-spoon/,US | Global | Germany | Netherlands | belgium | austria,meal kit | meal kit and prepared meals,https://marleyspoon.com/ | https://marleyspoon.de/ | https://marleyspoon.nl/ | https://marleyspoon.be/ | https://marleyspoon.at/,affiliate application,105,active,Build Austria HelloFresh vs Marley Spoon comparison
Chefs Plate,/reviews/chefs-plate/,/go/chefs-plate/,Canada,meal kit,https://www.chefsplate.com/,affiliate application,90,active,Promote to Canada P0 and compare against HelloFresh Canada
CookUnity,/reviews/cookunity/,/go/cookunity/,US,prepared meals,https://www.cookunity.com/,affiliate application,90,active_on_site,Keep as chef-prepared P0 and ZIP-dependent check
Factor,/reviews/factor/,/go/factor/,US | Global | Germany | Netherlands | sweden | belgium,prepared meals,https://www.factor75.com/ | https://www.factormeals.de/?locale=en-DE | https://www.factormeals.nl/kant-en-klare-maaltijden?locale=en-NL | https://www.factormeals.se/fardigratter?locale=en-SE | https://www.factormeals.be/,affiliate application,90,active_on_site,Keep as prepared-meal P0 and apply once live domain exists
Gousto,/reviews/gousto/,/go/gousto/,UK,meal kit,https://www.gousto.co.uk/,affiliate application,90,active_on_site,Keep as UK anchor
HelloFresh Australia,/reviews/hellofresh-australia/,/go/hellofresh-australia/,Australia,meal kit,https://www.hellofresh.com.au/,affiliate application,90,active_on_site_variant,Create AU-specific brand variant and consumer-law caution
HelloFresh Canada,/reviews/hellofresh-canada/,/go/hellofresh-canada/,Canada,meal kit,https://www.hellofresh.ca/,affiliate application,90,active_on_site_variant,Create Canada-specific brand variant
HelloFresh UK,/reviews/hellofresh-uk/,/go/hellofresh-uk/,UK,meal kit,https://www.hellofresh.co.uk/,affiliate application,90,active_on_site_variant,Create UK-specific brand variant and offer check
Aarstiderne,/reviews/aarstiderne/,/go/aarstiderne/,denmark,organic meal kit,https://www.aarstiderne.com/,direct partnership outreach,85,active,Position as organic/local alternative in Denmark
Calo,/reviews/calo/,/go/calo/,uae,prepared meals,https://calo.app/en,direct partnership outreach,85,active,Add as app-led UAE/GCC comparison target
Calori,/reviews/calori/,/go/calori/,finland,prepared meals,https://calori.fi/,direct partnership outreach,85,active,Lead Finland prepared-meals comparison and direct partnership outreach
EatFit,/reviews/eatfit/,/go/eatfit/,india,healthy meal delivery,https://www.eatfit.in/,direct partnership outreach,85,active,Add as India mainstream healthy meal delivery anchor
FitChef,/reviews/fitchef/,/go/fitchef/,south-africa,prepared meals,https://orders.fitchef.co.za/customer/menu/meals,direct partnership outreach,85,active,Lead South Africa prepared-meal comparison and outreach
Fitfood,/reviews/fitfood/,/go/fitfood/,New Zealand | new-zealand,prepared meals,https://www.fitfood.co.nz/ | https://www.fitfood.nz/,direct partnership outreach,85,active,Use as New Zealand prepared and high-protein anchor
Food Darzee,/reviews/food-darzee/,/go/food-darzee/,india,diet prepared meals,https://fooddarzee.com/,direct partnership outreach,85,active,Lead India healthy meal-plan comparison and outreach
Foodbag,/reviews/foodbag/,/go/foodbag/,belgium,meal kit and ready meals,https://www.foodbag.be/,direct partnership outreach,85,active,Position as local Belgium alternative to HelloFresh and Marley Spoon
Frozen For You,/reviews/frozen-for-you/,/go/frozen-for-you/,south-africa,frozen meals,https://www.frozenforyou.co.za/,direct partnership outreach,85,active,Add to South Africa frozen and family prepared-meal pages
Godtlevert,/reviews/godtlevert/,/go/godtlevert/,norway,meal kit,https://www.godtlevert.no/,direct partnership outreach,85,active,Position as Norway incumbent and partnership target
Gourmet Fuel,/reviews/gourmet-fuel/,/go/gourmet-fuel/,Ireland,prepared meals,https://gourmetfuel.com/,direct partnership outreach,85,active,Promote to Ireland meal-plan and high-protein pages
Grain,/reviews/grain/,/go/grain/,singapore,prepared meals,https://grain.com.sg/eat,direct partnership outreach,85,active,Add as Singapore convenience and office-lunch angle
Kcal Life,/reviews/kcal-life/,/go/kcal-life/,uae,prepared meals,https://kcallife.com/,direct partnership outreach,85,active,Add as UAE top-tier meal-plan comparison target
Linas Matkasse,/reviews/linas-matkasse/,/go/linas-matkasse/,sweden,meal kit,https://www.linasmatkasse.se/,direct partnership outreach,85,active,Position as Sweden incumbent against HelloFresh and Factor
MenuDiet,/reviews/menudiet/,/go/menudiet/,spain,prepared meals,https://www.menudiet.es/,direct partnership outreach,85,active,Add to Spain diet/prepared meal comparison and outreach
NOSH,/reviews/nosh/,/go/nosh/,hong-kong,prepared meals,https://www.nosh.hk/,direct partnership outreach,85,active,Add as Hong Kong top comparison target
Nutribees,/reviews/nutribees/,/go/nutribees/,italy,prepared meals,https://www.nutribees.com/,direct partnership outreach,85,active,Create Italy prepared-meals review and partnership target
Nutrition Kitchen,/reviews/nutrition-kitchen/,/go/nutrition-kitchen/,singapore | hong-kong,prepared meals,https://nutritionkitchensg.com/ | https://nutritionkitchenhk.com/,direct partnership outreach,85,active,Lead Singapore prepared-meal comparison and outreach
Right Bite,/reviews/right-bite/,/go/right-bite/,uae,prepared meals,https://rightbite.com/,direct partnership outreach,85,active,Lead UAE prepared-meal comparison and partner outreach
UCOOK,/reviews/ucook/,/go/ucook/,south-africa,meal kit,https://ucook.co.za/,direct partnership outreach,85,active,Lead South Africa meal-kit comparison and outreach
Weekly Food,/reviews/weekly-food/,/go/weekly-food/,switzerland,prepared meals,https://weekly-food.ch/en/,direct partnership outreach,85,active,Lead prepared-meals comparison and direct partnership outreach
Wetaca,/reviews/wetaca/,/go/wetaca/,spain,prepared meals,https://wetaca.com/,direct partnership outreach,85,active,"Manual content check, then create Wetaca review and Spain comparison placement"
WOOP,/reviews/woop/,/go/woop/,New Zealand | new-zealand,premium meal kit | meal kit,https://woop.co.nz/,direct partnership outreach,85,active,Add to New Zealand premium meal-kit comparisons
Dinnerly,/reviews/dinnerly/,/go/dinnerly/,US | Global,budget meal kit,https://dinnerly.com/,affiliate application,75,active_on_site,Expand budget meal-kit coverage and Marley Spoon parent angle
EveryPlate,/reviews/everyplate/,/go/everyplate/,US | Global,budget meal kit,https://www.everyplate.com/,affiliate application,75,active_on_site,Expand cheap meal delivery and EveryPlate vs Dinnerly
