site,page_type,parent_slug,slug,url,primary_keyword,secondary_keywords,intent,funnel_stage,location,service_or_topic,target_persona,title,meta_description,h1,content_angle,internal_links,schema_type,status,priority,metric_source,notes
Every Meal Guide,location,countries/us,best-meal-delivery,https://www.everymealguide.com/countries/us/best-meal-delivery/,best meal delivery US,all meal delivery services; deals; reviews; alternatives; delivery coverage,commercial,middle,US,all meal delivery services,consumer dinner buyer,Best Meal Delivery US | Every Meal Guide,"Compare all meal delivery services in US by price, format, routine fit, and current deal quality.",Best Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-prepared-meals,https://www.everymealguide.com/countries/us/best-prepared-meals/,best prepared meal delivery US,prepared meals and heat-and-eat meals; deals; reviews; alternatives; delivery coverage,commercial,middle,US,prepared meals and heat-and-eat meals,consumer dinner buyer,Best Prepared Meal Delivery US | Every Meal Guide,"Compare prepared meals and heat-and-eat meals in US by price, format, routine fit, and current deal quality.",Best Prepared Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-meal-kits,https://www.everymealguide.com/countries/us/best-meal-kits/,best meal kits US,meal kits you cook yourself; deals; reviews; alternatives; delivery coverage,commercial,middle,US,meal kits you cook yourself,consumer dinner buyer,Best Meal Kits US | Every Meal Guide,"Compare meal kits you cook yourself in US by price, format, routine fit, and current deal quality.",Best Meal Kits in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-high-protein-meal-delivery,https://www.everymealguide.com/countries/us/best-high-protein-meal-delivery/,best high protein meal delivery US,high-protein and fitness meal prep; deals; reviews; alternatives; delivery coverage,commercial,middle,US,high-protein and fitness meal prep,consumer dinner buyer,Best High Protein Meal Delivery US | Every Meal Guide,"Compare high-protein and fitness meal prep in US by price, format, routine fit, and current deal quality.",Best High Protein Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,cheapest-meal-delivery,https://www.everymealguide.com/countries/us/cheapest-meal-delivery/,cheapest meal delivery US,budget meal kits and low-cost prepared meals; deals; reviews; alternatives; delivery coverage,commercial,middle,US,budget meal kits and low-cost prepared meals,consumer dinner buyer,Cheapest Meal Delivery US | Every Meal Guide,"Compare budget meal kits and low-cost prepared meals in US by price, format, routine fit, and current deal quality.",Cheapest Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-vegan-meal-delivery,https://www.everymealguide.com/countries/us/best-vegan-meal-delivery/,best vegan meal delivery US,vegan and plant-based meals; deals; reviews; alternatives; delivery coverage,commercial,middle,US,vegan and plant-based meals,consumer dinner buyer,Best Vegan Meal Delivery US | Every Meal Guide,"Compare vegan and plant-based meals in US by price, format, routine fit, and current deal quality.",Best Vegan Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-family-meal-delivery,https://www.everymealguide.com/countries/us/best-family-meal-delivery/,best family meal delivery US,family dinners and kid-friendly meals; deals; reviews; alternatives; delivery coverage,commercial,middle,US,family dinners and kid-friendly meals,consumer dinner buyer,Best Family Meal Delivery US | Every Meal Guide,"Compare family dinners and kid-friendly meals in US by price, format, routine fit, and current deal quality.",Best Family Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-weight-loss-meal-delivery,https://www.everymealguide.com/countries/us/best-weight-loss-meal-delivery/,best weight loss meal delivery US,diet and calorie-controlled meals; deals; reviews; alternatives; delivery coverage,commercial,middle,US,diet and calorie-controlled meals,consumer dinner buyer,Best Weight Loss Meal Delivery US | Every Meal Guide,"Compare diet and calorie-controlled meals in US by price, format, routine fit, and current deal quality.",Best Weight Loss Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/us,best-frozen-meal-delivery,https://www.everymealguide.com/countries/us/best-frozen-meal-delivery/,best frozen meal delivery US,frozen ready meals; deals; reviews; alternatives; delivery coverage,commercial,middle,US,frozen ready meals,consumer dinner buyer,Best Frozen Meal Delivery US | Every Meal Guide,"Compare frozen ready meals in US by price, format, routine fit, and current deal quality.",Best Frozen Meal Delivery in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,landing,countries/us,meal-delivery-deals,https://www.everymealguide.com/countries/us/meal-delivery-deals/,meal delivery deals US,discounts and first-order offers; deals; reviews; alternatives; delivery coverage,transactional,bottom,US,discounts and first-order offers,consumer dinner buyer,Meal Delivery Deals US | Every Meal Guide,"Compare discounts and first-order offers in US by price, format, routine fit, and current deal quality.",Meal Delivery Deals in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,comparison,countries/us,meal-kits-vs-prepared-meals,https://www.everymealguide.com/countries/us/meal-kits-vs-prepared-meals/,meal kits vs prepared meals US,format decision; deals; reviews; alternatives; delivery coverage,commercial,middle,US,format decision,consumer dinner buyer,Meal Kits Vs Prepared Meals US | Every Meal Guide,"Compare format decision in US by price, format, routine fit, and current deal quality.",Meal Kits Vs Prepared Meals in US,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/us/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"Article,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,location,countries/canada,best-meal-delivery,https://www.everymealguide.com/countries/canada/best-meal-delivery/,best meal delivery Canada,all meal delivery services; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,all meal delivery services,consumer dinner buyer,Best Meal Delivery Canada | Every Meal Guide,"Compare all meal delivery services in Canada by price, format, routine fit, and current deal quality.",Best Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,best-prepared-meals,https://www.everymealguide.com/countries/canada/best-prepared-meals/,best prepared meal delivery Canada,prepared meals and heat-and-eat meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,prepared meals and heat-and-eat meals,consumer dinner buyer,Best Prepared Meal Delivery Canada | Every Meal Guide,"Compare prepared meals and heat-and-eat meals in Canada by price, format, routine fit, and current deal quality.",Best Prepared Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,best-meal-kits,https://www.everymealguide.com/countries/canada/best-meal-kits/,best meal kits Canada,meal kits you cook yourself; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,meal kits you cook yourself,consumer dinner buyer,Best Meal Kits Canada | Every Meal Guide,"Compare meal kits you cook yourself in Canada by price, format, routine fit, and current deal quality.",Best Meal Kits in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,best-high-protein-meal-delivery,https://www.everymealguide.com/countries/canada/best-high-protein-meal-delivery/,best high protein meal delivery Canada,high-protein and fitness meal prep; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,high-protein and fitness meal prep,consumer dinner buyer,Best High Protein Meal Delivery Canada | Every Meal Guide,"Compare high-protein and fitness meal prep in Canada by price, format, routine fit, and current deal quality.",Best High Protein Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
Every Meal Guide,category,countries/canada,cheapest-meal-delivery,https://www.everymealguide.com/countries/canada/cheapest-meal-delivery/,cheapest meal delivery Canada,budget meal kits and low-cost prepared meals; deals; reviews; alternatives; delivery coverage,commercial,middle,Canada,budget meal kits and low-cost prepared meals,consumer dinner buyer,Cheapest Meal Delivery Canada | Every Meal Guide,"Compare budget meal kits and low-cost prepared meals in Canada by price, format, routine fit, and current deal quality.",Cheapest Meal Delivery in Canada,"Country-specific buyer table with verified brands, deal routing, category definitions, and clear fit verdicts.",/countries/canada/; /best/meal-delivery-services/; /deals/best-meal-delivery-deals/,"ItemList,BreadcrumbList,FAQPage",planned_needs_brand_research,1,needs_live_metrics,Generated from global domination operating layer. Build only after brand/source rows exist for the market or category.
